text,size
trumpriot,339
trump,131
hillary,77
maga,26
election2016,26
hillno,23
notmypresident,21
treygowdy,21
trumpprotest,19
worldtotrump,17
rustbelt,17
tcot,16
veteransday,14
obama,14
hillaryclinton,12
rt,12
basementdwellers,12
news,11
presidenttrump,11
clinton,9
trumptrain,9
electionnight,8
trumppresident,7
protesters,7
stillwithher,7
banned,7
electoralcollege,6
deplorables,6
crookedhillary,6
uspoli,6
free,6
imstillwithher,5
trump2016,5
wikileaks,5
biascnn,5
usa,5
fakenews,5
election,4
imwithher,4
msm,4
notmyprsident,4
democrats,4
americafirst,4
rigged,4
petition,4
hesnotmypresident,4
politics,4
ebook,4
furniture,4
amjoy,3
benghazi,3
donaldtrump,3
dncleaks,3
rip,3
xrim,3
us,3
dnc,3
liberals,3
lockherup,3
nevertrump,3
